Date,Open,High,Low,Close,Volume
2020-12-03,2867.440109742677,2899.658537942033,2858.4649761728565,2892.892578125,55733
2020-12-04,2912.776198446441,2922.671859071644,2872.9634243031815,2888.658447265625,43515
2020-12-07,2903.341024333968,2944.764723159278,2858.143076387172,2864.81689453125,69105
2020-12-08,2876.2313792890095,2884.8381679955887,2781.8313332735206,2830.527099609375,465231
2020-12-09,2855.2427551082487,2855.2427551082487,2813.911209731587,2825.969970703125,35053
2020-12-10,2816.8110009225093,2825.0496678893905,2792.647181061654,2806.455078125,28149
2020-12-11,2788.4130481392117,2872.042979273818,2784.8230843102947,2818.882568359375,40231
2020-12-14,2844.4269384853587,2866.519574900779,2807.6058777929916,2816.212890625,46828
2020-12-15,2784.822761571405,2891.787894673437,2784.822761571405,2870.984130859375,92851
2020-12-16,2895.05610361651,2918.897652221707,2858.235040295473,2898.692138671875,58222
2020-12-17,2897.771579730393,2911.6255495978176,2858.2350083785086,2875.172607421875,37227
2020-12-18,2856.393903352345,2880.327593809052,2811.1040417433937,2836.970703125,37569
2020-12-21,2771.7979281270045,2859.4780928812743,2771.7979281270045,2826.523193359375,117274
2020-12-22,2826.937169668633,2935.5593077412145,2623.6848528021806,2776.216064453125,85287
2020-12-23,2789.1953288968334,2842.12560329009,2770.784798673092,2824.54345703125,34336
2020-12-24,2835.2679047351344,2863.712085831483,2809.4931607945973,2828.82421875,25067
2020-12-28,2862.837985334271,2877.244138034097,2835.222184832654,2846.406494140625,39148
2020-12-29,2896.8970430902664,2896.8970430902664,2769.7722370683828,2822.610595703125,37495
2020-12-30,2841.1590512760595,2876.64539380158,2805.5807909406903,2858.23486328125,24651
2020-12-31,2871.122204103638,2876.6453632009843,2823.162682713184,2832.0458984375,33283
2021-01-01,2845.9918454491094,2887.5537533783245,2827.1210514674385,2871.26025390625,38786
2021-01-04,2890.4071496105657,2901.9598021766474,2872.364964985381,2892.8466796875,37409
2021-01-05,2892.5245610554416,2892.5245610554416,2807.605986544386,2863.6201171875,30128
2021-01-06,2823.2550269212406,2887.69188765958,2823.2550269212406,2861.68701171875,31359
2021-01-07,2881.202035553063,2890.453372345257,2867.348066002358,2879.453125,17953
2021-01-08,2899.6586257158906,2899.6586257158906,2875.7249354718865,2882.44482421875,44992
2021-01-11,2885.850971563587,2899.6588709490584,2875.7251786809074,2890.77587890625,28259
2021-01-12,2899.6589123336266,2982.506309828873,2891.5121616847478,2934.316650390625,121286
2021-01-13,2945.6850784484745,2982.460070652143,2928.241144572125,2947.203857421875,86799
2021-01-14,2964.0953521598285,2998.5690248949736,2928.1948183914333,2955.028076171875,47498
2021-01-15,2966.857124519916,2973.254739210993,2932.107246626454,2946.651611328125,33029
2021-01-18,2952.956941123293,2952.956941123293,2872.088820978367,2928.56298828125,38525
2021-01-19,2923.7761099811205,2991.7110079712493,2898.8299776497042,2978.593505859375,75122
2021-01-20,2989.824672373843,3013.574306356641,2948.861233921649,2989.13427734375,53395
2021-01-21,3003.6321993269116,3019.327222672844,2945.6850952905797,2988.21337890625,182612
2021-01-22,3019.3269140756893,3037.369323335454,2964.1413954565533,3022.502685546875,219062
2021-01-25,3065.3530178105107,3065.3530178105107,3004.644344582534,3038.013427734375,92348
2021-01-27,3028.5326146350294,3036.126959337382,2953.049430926801,2973.623291015625,104247
2021-01-28,2945.6856309530676,2981.4940320091496,2933.4425801018233,2973.57763671875,63416
